experiment,sample_id,sample_path,prediction_path,mse,mae,correlation,iou,dice,true_occupied_cells,predicted_occupied_cells,volume_ratio,true_mass_proxy,predicted_mass_proxy,mass_ratio,true_body_mean_density,predicted_mean_density_in_true_body,peak_predicted_density,body_mse,background_mse,depth_profile_mse,z_center_error_m,absolute_z_center_error_m,true_top_depth_m,true_bottom_depth_m,true_thickness_m,true_width_x_m,true_width_y_m,true_center_x_m,true_center_y_m,gravity_mse,gravity_rmse,gravity_mae,gravity_relative_l2,gravity_correlation,gravity_max_abs_residual,gravity_mean_residual,gravity_residual_std,manifest_top_depth_m,manifest_thickness_m,predicted_top_depth_m,top_depth_error_m,absolute_top_depth_error_m,predicted_bottom_depth_m,bottom_depth_error_m,absolute_bottom_depth_error_m,predicted_thickness_m,thickness_error_m,absolute_thickness_error_m,predicted_width_x_m,width_x_error_m,absolute_width_x_error_m,predicted_width_y_m,width_y_error_m,absolute_width_y_error_m,predicted_center_x_m,predicted_center_y_m,lateral_center_error_m
E09B,sample_000796,samples/sample_000796.npz,sample_000796_prediction.npz,0.0007684487500227988,0.0038928838912397623,0.7445521365398382,0.38855909336211547,0.5596579867858531,720,1853,2.573611111111111,233.237042427063,596.4621989236718,2.5573219104345113,0.32394033670425415,0.36086705952054926,0.5227085947990417,0.005655150408086794,0.0007323933535457903,0.005739309886978947,3.8998869537714,3.8998869537714,40.0,70.0,30.0,150.0,160.0,175.0,170.0,0.0020614661364477607,0.04540337142159997,0.019372663017058714,1.3839008977109009,0.996371879542352,0.25199924612498215,0.019372663017058714,0.041062952452000416,40.0,30.0,20.0,-20.0,20.0,100.0,30.0,30.0,80.0,50.0,50.0,170.0,20.0,20.0,240.0,80.0,80.0,175.0,190.0,20.0
E09B,sample_001763,samples/sample_001763.npz,sample_001763_prediction.npz,0.0005397901986725628,0.0019204607233405113,0.8358867619987995,0.37889039242219213,0.549558390578999,280,739,2.6392857142857142,142.34578132629395,327.39235240488824,2.299979313432682,0.5083777904510498,0.6351440769221102,0.7843972444534302,0.026353273589173568,0.00046605548821021287,0.0007156103697206346,-1.4727274633256684,1.4727274633256684,40.0,110.0,70.0,80.0,50.0,510.0,495.0,0.0006819365809201658,0.02611391546513402,0.00937008936662944,1.3323047056407713,0.9995817342341682,0.2156528325885756,0.00937008936662944,0.024374946280587853,40.0,70.0,20.0,-20.0,20.0,130.0,20.0,20.0,110.0,40.0,40.0,120.0,40.0,40.0,90.0,40.0,40.0,510.0,495.0,0.0
E09B,sample_000998,samples/sample_000998.npz,sample_000998_prediction.npz,0.0005359304486773908,0.0030771533492952585,0.6582290746898913,0.30394736842105263,0.4661957618567104,462,1520,3.29004329004329,163.88124418258667,404.7306594666999,2.469658205766202,0.3547213077545166,0.2913132995947615,0.4133806526660919,0.007180943711326426,0.0005045533781551557,0.005792496919764317,5.2168356486738645,5.2168356486738645,80.0,110.0,30.0,110.0,140.0,235.0,380.0,0.0004702101690687429,0.02168433003504473,0.011773156686084174,1.3323194349163416,0.9949051256795478,0.09829687058513176,0.011773156686084174,0.01820996844351067,80.0,30.0,60.0,-20.0,20.0,160.0,50.0,50.0,100.0,70.0,70.0,150.0,40.0,40.0,190.0,50.0,50.0,235.0,365.0,15.0
E09B,sample_001629,samples/sample_001629.npz,sample_001629_prediction.npz,0.0011209598742425442,0.0036187022924423218,0.8351326315935123,0.39344262295081966,0.5647058823529412,504,1281,2.5416666666666665,287.289128780365,642.1849108147438,2.2353261800786752,0.5700181126594543,0.6885520082617563,0.7526267766952515,0.016644132247974334,0.0010409632493829418,0.0011426461126100868,-0.15955866633801463,0.15955866633801463,70.0,130.0,60.0,60.0,140.0,440.0,210.0,0.0012542101326662894,0.035414829276255014,0.017259855149232662,1.252429843189035,0.9994864513744437,0.20156418656416625,0.017259855149232662,0.03092422242989783,70.0,60.0,50.0,-20.0,20.0,150.0,20.0,20.0,100.0,40.0,40.0,100.0,40.0,40.0,190.0,50.0,50.0,440.0,205.0,5.0
E09B,sample_001922,samples/sample_001922.npz,sample_001922_prediction.npz,0.002739684423431754,0.005948251113295555,0.7993580129517722,0.3653190452995616,0.5351409204423832,750,2053,2.7373333333333334,600.9497344493866,1159.01488235214,1.9286386463155263,0.8012663125991821,0.8012394284407298,0.8765405416488647,0.0021750298829466552,0.0027440255456219905,0.002596216219855298,0.20503999826000552,0.20503999826000552,60.0,110.0,50.0,150.0,100.0,455.0,270.0,0.004310178031345518,0.0656519461352481,0.028435010114686993,0.9947809161423072,0.9986135464159331,0.41704023878611185,0.028435010114686993,0.05917455729554018,60.0,50.0,20.0,-40.0,40.0,140.0,30.0,30.0,120.0,70.0,70.0,180.0,30.0,30.0,130.0,30.0,30.0,450.0,265.0,7.0710678118654755
E09B,sample_001409,samples/sample_001409.npz,sample_001409_prediction.npz,0.0006781312986277044,0.0017887172289192677,0.8297186749148961,0.4080145719489982,0.5795601552393272,224,549,2.450892857142857,206.4456329345703,321.8607689024857,1.5590582582315722,0.9216322898864746,0.7867597096732685,0.9119333028793335,0.030409595577931898,0.0006102291074134882,0.0003852172289863153,-0.47644364348380464,0.47644364348380464,20.0,90.0,70.0,40.0,80.0,480.0,290.0,0.00033118696411947005,0.01819854291198804,0.006374973189703086,0.46356645394577894,0.9934725091347278,0.14862023193716856,0.006374973189703086,0.017045429913910556,20.0,70.0,20.0,0.0,0.0,110.0,20.0,20.0,90.0,20.0,20.0,70.0,30.0,30.0,160.0,80.0,80.0,485.0,270.0,20.615528128088304
E09B,sample_000992,samples/sample_000992.npz,sample_000992_prediction.npz,0.0007421427872031927,0.0027678075712174177,0.9317189177594625,0.6216908625106746,0.7667193259610321,728,1171,1.6085164835164836,443.7051453590393,701.1758900271407,1.5802744172816838,0.6094850897789001,0.7412257438914461,0.9087080955505371,0.030183965371344997,0.0005224817007139746,0.0002701017842223847,2.240021455666792,2.240021455666792,20.0,100.0,80.0,70.0,130.0,395.0,215.0,0.0011753540794290584,0.03428343739226069,0.01385193154028784,0.4822231649224348,0.9972923323063911,0.21868262545288153,0.01385193154028784,0.031360453951310034,20.0,80.0,20.0,0.0,0.0,120.0,20.0,20.0,100.0,20.0,20.0,90.0,20.0,20.0,160.0,30.0,30.0,395.0,210.0,5.0
E09B,sample_002128,samples/sample_002128.npz,sample_002128_prediction.npz,0.000416365684941411,0.0019122004741802812,0.7682879705736935,0.26634382566585957,0.42065009560229444,220,826,3.7545454545454544,101.6027420759201,287.3283532774067,2.8279586496071905,0.46183064579963684,0.5142462143843824,0.6384647488594055,0.0057868367086720525,0.0004043198925696347,0.0022417083964920083,-1.494857809371041,1.494857809371041,60.0,100.0,40.0,50.0,110.0,295.0,285.0,0.0005395390005800755,0.023227978831144035,0.009822843378367722,1.8632836290389077,0.9994780231313241,0.16266925504950464,0.009822843378367722,0.02104877071337262,60.0,40.0,30.0,-30.0,30.0,130.0,30.0,30.0,100.0,60.0,60.0,90.0,40.0,40.0,170.0,60.0,60.0,295.0,285.0,0.0
E09B,sample_001888,samples/sample_001888.npz,sample_001888_prediction.npz,0.002009720541536808,0.004084931220859289,0.7461854750193115,0.31552587646076796,0.4796954314720812,378,1198,3.1693121693121693,311.36883294582367,695.2847287188,2.2329939774022773,0.8237270712852478,0.8125712461572475,0.8710971474647522,0.0024866407647012524,0.002007879588279812,0.0010190506879126729,2.7496125131230116,2.7496125131230116,70.0,140.0,70.0,90.0,60.0,355.0,480.0,0.001363363188507607,0.03692374829980844,0.018167525658611378,1.2177095172612094,0.999611933228614,0.22486638645808465,0.018167525658611378,0.03214504938480115,70.0,70.0,40.0,-30.0,30.0,240.0,100.0,100.0,200.0,130.0,130.0,120.0,30.0,30.0,110.0,50.0,50.0,360.0,475.0,7.0710678118654755
E09B,sample_001536,samples/sample_001536.npz,sample_001536_prediction.npz,0.0012168569955974817,0.0032389608677476645,0.7385404098286652,0.28197381671701915,0.4399057344854674,280,993,3.5464285714285713,223.28286409378052,493.30554919161756,2.2093300853773776,0.7974388003349304,0.7110457680055073,0.7782912254333496,0.008858463053733827,0.0011950291574449276,0.0032709176090890885,0.7077318605736025,0.7077318605736025,40.0,80.0,40.0,70.0,100.0,455.0,380.0,0.001719640334701531,0.041468546329736844,0.01470763786596475,1.1785290574592318,0.9993926022401074,0.318788373324979,0.01470763786596475,0.0387727445908227,40.0,40.0,20.0,-20.0,20.0,110.0,30.0,30.0,90.0,50.0,50.0,110.0,40.0,40.0,130.0,30.0,30.0,455.0,375.0,5.0
E09B,sample_000503,samples/sample_000503.npz,sample_000503_prediction.npz,0.0007611220353282988,0.00254061003215611,0.5553167699066677,0.12178619756427606,0.21712907117008443,90,739,8.21111111111111,83.0135428905487,267.28915545143053,3.219825900020249,0.9223726987838745,0.5586142834689882,0.6269858479499817,0.1345300387574888,0.0006385407475461807,0.011087071774636574,0.8022248626033104,0.8022248626033104,70.0,90.0,20.0,90.0,50.0,415.0,505.0,0.0005008247830613103,0.022379114885564853,0.009285448650306716,2.187056751343268,0.9997010919815406,0.15759009945879382,0.009285448650306716,0.020361857145747477,70.0,20.0,30.0,-40.0,40.0,130.0,40.0,40.0,100.0,80.0,80.0,140.0,50.0,50.0,100.0,50.0,50.0,420.0,500.0,7.0710678118654755
E09B,sample_001208,samples/sample_001208.npz,sample_001208_prediction.npz,0.00025665672728791833,0.0012304382398724556,0.8338294583792524,0.4195804195804196,0.5911330049261084,180,429,2.3833333333333333,107.92141556739807,212.15410697488593,1.9658202763509292,0.5995634198188782,0.5630561497476366,0.6645839810371399,0.00550826570699856,0.00024702310885519403,0.0007127070679440515,1.9078856962611965,1.9078856962611965,20.0,70.0,50.0,40.0,90.0,250.0,475.0,0.0002110826049708769,0.014528682148456443,0.005839469364635185,0.6247511338696116,0.9804055581519677,0.10869839549880031,0.005839469364635185,0.013303503392353613,20.0,50.0,20.0,0.0,0.0,90.0,20.0,20.0,70.0,20.0,20.0,120.0,80.0,80.0,140.0,50.0,50.0,280.0,470.0,30.4138126514911
E09B,sample_000155,samples/sample_000155.npz,sample_000155_prediction.npz,0.0003247909771744162,0.001722389250062406,0.769069100853081,0.31290743155149936,0.4766633565044687,240,767,3.1958333333333333,82.30671644210815,248.89102643780598,3.023945519839414,0.3429446518421173,0.4274062517409523,0.5367806553840637,0.011621377926106383,0.00029714391944027515,0.0024317130793771757,0.8853724756286994,0.8853724756286994,70.0,110.0,40.0,60.0,100.0,340.0,440.0,0.0003249273485027772,0.01802574127470982,0.008399072291443677,1.9852857873889644,0.9984483818682088,0.11122301830118997,0.008399072291443677,0.015949386607198416,70.0,40.0,50.0,-20.0,20.0,140.0,30.0,30.0,90.0,50.0,50.0,100.0,40.0,40.0,140.0,40.0,40.0,350.0,440.0,10.0
